processed_text,Class
quality okhy beautiful price like much thank seller ♥ durability fast delivery best packaging beautiful really like,positive
packing ok price cheap used like beautiful good luck instruction watch set watches know long last watch cheap right thank seller,positive
durability beautiful quality best fast delivery beautiful watch next time buy best kemah keming,positive
quality good durability good beautiful interesting interested really bomb use work next time repeat seller,positive
quality good durability good received good condition tq seller tq rider tq shoppee,positive
quality good durability good one day thank price cheap repeat many,positive
quality ok worth price beautiful allergic leather watches try cheap beautiful non itchy 👍,positive
quality good beautiful color cute children like much price cheap worth buying hrp last little longer,positive
quality best👍 goods arrived safely😃 bought straight away🤭 really beautiful😍 cheap cheap😍 repeat again🤭 thank bought 🥰,positive
quality best watch ok quality nice second time bought keep selling lot 🤭,positive
durability solid steady quality effective delivery fast process also fast item arrived tiptop condition packaging also neat item ok condition satisfied buy item seller fast superb short everything ok long say congratulations seller,positive
really crazy rope color clear even purple color crazy,positive
quality good durability good item brand new far ok worth price use school,positive
durability good quality indeed best good packaging thank seller watch also quality,positive
quality beautiful durability really good seller really best top 😃,positive
quality cun durability best thank seller item arrived sorry wrong picture time snap bytheway item bad repeat another order later hhehe tq tq tq know heheh,positive
durability good quality good item arrived quickly packaged well right color choice,positive
quality good srs crazy cheap beautiful 😍 regret buying one 😭 repeat order another color 😍 arrived quickly 🫶🏻 nothing damaged opened good use 🫶🏻🤍,positive
watch really pretty easy set definitely buy delivery fast really good defects choose purple colour hope lastt long affordable price,positive
quality good durability good bought sister good quality loves thank youu,positive
quality good durability good item arrived good condition everything perfect,positive
beautiful color soft rope cheap give gift anyone beautiful rope bit long small hands,positive
quality beautiful durability light heavy beautiful suitable adults children,positive
quality good durability okey watches good set yet looks beautiful good service seller repeat order next time thank seller 😊,positive
durability beautiful quality good beautiful item excellent packaging quick fast delivery buy another day reasonably priced items suitable gift small children,positive
👍🏻👍🏻 thick bubble wrap wear feels smart sporty 😎,positive
quality look good durability try seller fast response fast packing fast shipping courier fast delivery satisfied,positive
nice quality product value money also fast delivery depends area actually,positive
durability satisfied quality beautiful fast delivery neatly wrapped,positive
alhamdulillah arrived safely thank much kind seller fastest courier southeast asia recommended malaysians thank,positive
quality good quality durability beautiful design thank seller item arrived watch beautiful like expensive sir surprised watch arrived ready,positive
durability ok good 👍 quality ok item arrived safely without damage fast delivery nd repeat order beautiful watch suits tq seller 😘🌹♥️,positive
quality satisfactory worth price durability ok hurry trusted seller,positive
durability good quality good item arrived good condition dents box,positive
quality soft rubber buy alhamdulillah son likes watch make stylish watch arrived safely ticks,positive
quality watch feels nice look stylish worn comfortable durability band soft watch seems last longer price quality really great recommend,positive
quality good beautiful worn durability soft long strap fits perfectly cheap beautiful bought seller sells good quality items 🫶👍,positive
ok size good beautiful price reasonable one lamp changed recommended seller fast delivery,positive
quality ok worth price durability everything ok fast posting get color want buy son morning since missing long time son happy mom also happy buy,positive
durability good quality good problem clock arrived safely postage long quality watch really good scratches best thank seller repeat later 🤲🏻👍,positive
item arrived quickly perfectly daughter loves watch time accurate clock light bright night easy see time day date worth price,positive
thank seller item arrived safely clock works good condition sister really likes watch change bought two colors delivery also fast 👍🏻👍🏻👍🏻👍🏻,positive
quality baek cute terokk🥹🫶🏻 durability sure tried yet used yet think claimed really good price ❤️ problem fix settings eheheheh bought sister bfday party 🥳the price really cheap lip lamp blue 🙆🏻‍♀️✨,positive
quality good durability far good bought watch last time daughter bought kids sebab jam ini tahan lasak knew lampu tu change many colours bought one also recommended watch,positive
durability watch quality best satisfied purchase price logical size strap soft like original watch comfortable wear,positive
durability works well quality good quality good product quality good value money delivery quite fast fast best seller shopee express side damage packaging best satisfied,positive
quality good durability satisfactory item received good condition watch good working order damage scratch,positive
durability good quality good tq seller brg arrived good quality beautiful simple bought child likes shopee xpress delivery also best seller friendly chats asks courier important jnt area jnt good,positive
satisfied,positive
material good quality good fast delivery tq,positive
performance satisfied nice aesthetic color chargeable ipad,positive
portability stable performance best really satisfied worth affordable price worth buying heavy light powerful easy carry anywhere fast delivery take days trusted highly recommend thank vacuum homework getting easier,positive
performance excellent portability stable integrated vacuum safely arrived house today thursday delivery fast tiptop item arrived good condition complete without damage defects seller reliable repeat vacuum works well used good job seller 👍😁 buy time shocking sale get cheapest price fortunately worth wa ckp lu,positive
portability handy vacuum performance good good wireless vacuum really easy use comfortable used clean fan last night stick long reach fan heavy holding top head reach top wall delivery quite fast trusted seller cheap n affordable quality product keep seller always live guys follow page enjoy discount vouchers yea,positive
performance bouncy thank god arrived safely item completed xda damaged instruction manual st brand really best price worth loss buying vacuumed keep trying functions well sucks everything sound noisy highly recommended fast delivery fast chat many thanks seller😉,positive
portability lightweight cordless easy carry anywhere performance strong suction efficient cleaning reliable excellent product truly one best vacuum cleaners purchased performance powerful efficient making cleaning super easy satisfying picks dust dirt well whether floor carpet even car suction power impressive size feels like premium product really love complete set accessories — useful practical different cleaning needs everything works perfectly fits nicely even bought units straight away one green one pink look attractive stylish really worth design modern lightweight easy handle battery performance good convenient since cordless cleaning becomes faster enjoyable packaging neat secure well protected items arrived safely perfect condition huge thanks seller excellent service also big respect courier super fast careful delivery great value money premium feel highly recommended satisfied purchase confirm support terbaik bosque awesome 🇲🇾😎👍,positive
effectiveness easy wear durability easy damaged received good condition correct,positive
material plastic seller response fast packing fast delivery despatch also prompt overall experience good product arrived safely technically hope goods last long,positive
material plastic effectiveness ok material plastic use toilet item really beautiful,positive
effectiveness ok working well material plastic abs material light easy handle hope product last long acceptable quality products thanks seller,positive
effectiveness finished goods material plastic packing good arrive quickly perfect product worth price tq seller,positive
know price item post item use,negative
say seller helpful takes much time response dont want take responsibility damage item bought like pcs defect lol bad service bad product quality,negative
best right away scratchy clock hard set loss buy,negative
quality poor durability poor watch type,negative
quality bought damaged seller checked first came,negative
quality broken watch,negative
stability reached point leg broken used,negative
sturdy enough made plastics yall better buy stainless steel one one might broken next months guarantee dont know hype brand btw laptop inch,negative
adjustable angle match picture even adjusted maximum still high,negative
performance flimsy good stand,negative
get free gift,negative
receive,negative
goods,negative
free gift,negative
items,negative
didnt get item,negative
even,negative
performance,negative
wrong broken wood chair opened,negative
material poor dont know thing use,negative
x also physical,negative
x dptnpon,negative
xsama tggi,negative
broken,negative
x even pain,negative
xdpt pon,negative
received,negative
late,negative
even get anything,negative
ni apa yee box bought folding table,negative
performance received free gift konon,negative
item received,negative
bad seller,negative
bad quality,negative
xdpt ms,negative
material none available,negative
material bambu functionality nipis,negative
never received,negative
material poor material,negative
items xtangible xneed attach free oos,negative
even get free gift,negative
table legs slightly broken unstable,negative
small consider dining table study table,negative
function letak benda ni didnt get,negative
free item received pun cheat buyer la,negative
delete free gift seller bacially scamming pay extra shipping fall,negative
performance tell tell item dont get rewiew noti dont show anymore,negative
everything broken luckily still used want refund return item waiting,negative
material wood thin breaks cracks try screw functionality plastic shelf flimsy parts even holes screws terrible product even worth rm,negative
sent wooden coaster place home computer stand fake free gift promo attach outer box obviously cracked,negative
performance stable slightly touching table leg also cause table lapse,negative
performance please purchase item advertise cm height shown product photo bu actual item cm height disappointed please support seller integrity,negative
material bad functionality bad cracked open package,negative
get free gift promised remind get free gift,negative
material bad functionality doesnt move smoothly assembly difficult dirty causing floor dirty,negative
honest review best product ever bought table light good quality made mistake using little bit broke like picture connection wood use fine wire think brg worth price rm rm less bad quality,negative
dont even received product message buy another shipping cause need ship separately another product shop tho ringgit shipping already made waited many weeks still nothing message updates suddenly stock asked refund yet refund option anymore message everything silent dont buy,negative
ordered size color,negative
rocking table top packaging beautiful rude tread like xde stop point keep floor high potential collapse,negative
performance order picture curved corner dark brown color looks thick get like picture seller price already expensive items purchased cheap ones buy think curved corner safe small children house well buy honest place,negative
material light thin piece wood functionality sturdy break days usage,negative
sturdy hurm advice dont bother buying furniture shopee worth even cheaper priced item like might well spend ur hard earned money something surely work like lesson learned side,negative
crack middle please replace wrapping bubble wrap wood also good quality,negative
material thin leg sturdy need use caution breaks easily functionality hari ke dah patah sebab takde sokonan besi recommended,negative
functionality thing share plastic covers indeed low quality,negative
even buy look free free receive item like picture function value want,negative
quality ordered waterproof protection received ordered waterproof protection received asked seller never reply really disappointed 😅😅,negative
waterproof case waterproof water inside case phone got wet,negative
quality normal material plastic send wrong colour customer service keep ignore message,negative
quality bag tore quickly stand mother phone broken material good quality,negative
quality bad got wet went water phone got damaged please buy really rubbish hope victims,negative
quality tested yet arrived late material ordinary slow arrive already going redang got home slow service take days arrive,negative
fit ipad pro,negative
damaged,negative
break,negative
quality emissions distorted material leather feel,negative
inaccurate purple color,negative
sticker removable,negative
transparent side full flowers problem,negative
disappointed get something like 🥲 hope get new one 😌excited buy see damaged like rat bite 😭,negative
material co quality like ipad camera go sad,negative
casing fit ipad 💔,negative
unfit ipad 😥,negative
doesnr even fit ipad,negative
crack,negative
fit ipad pencil 😡,negative
quality ok material plastic seller put low quality sticker cover difficult peel cause cover look bad,negative
quality poor magnet weak suction force feels dangerous outer shell blocks fingerprint unlocking fingerprint scanned,negative
poor quality scratch marks back case recommended,negative
ordered purple arrived black color spoilt mood make wife happy since favorite color purple disappointing,negative
ipad inch u apple pencil better buy cuz case enough space hold ur pen drop,negative
quality low quality material ok tilt good,negative
bad quality product waste money definitely dont buy,negative
quality low magnet came days use hm,negative
performance great write using pencil sometimes write come annoying would recommend,negative
regret buying first feeling sad purchased ugreen products,negative
performance worst magnetic strong falls easily magnetic charging work customer service told use type c charging offered rm discount literally paid extra get magnetic charging missing whole selling point magnetic charging reason bought tried tilt sensitivity note taking apps seem working well apps used test notes goodnotes freeform notability,negative
bought less month already faulty,negative
performance detected moment detected moment month nibs changed apparently ok moment ok moment price affordable,negative
service poor customer service chase away customers ask questions answer otherwise able explain clearly know answers bad customer service like days asked customer service get solution customer service disgusting,negative
customer service bad product used ipad tried three devices sent video seller still requested videos proof deciding purchase seller kindly reconsider regretting,negative
performance magnetic charge work worst customer service ever one reply problem recommended buy original apple pencil,negative
performance worst product ever bought faulty product cant function,negative
service extremely bad already many days response seller,negative
performance bad crazy delay writing ipad air icloud！,negative
charged hours work charged,negative
deceived bluetooth near description writing 👎🏼,negative
performance bad charge seller response,negative
wireless charging charged wireless dummy magnetic function compatible wireless charging ipad air,negative
good reviews really palm rejection device satisfied,negative
performance helpful customer service seller give proper solution gd pro pencil wireless charge advertised said pencil updated ipad air updated latest version seller also proceed help buy additional charging dock make pencil turn recommendation buy pencil already usb c port helpful,negative
use,negative
charge,negative
performance working,negative
pen working ridiculous,negative
work wireless charging ipad air 💁🏿👎🏽,negative
performance bad first experience pencil cant turn cant bluetooth seller responsive reported box looks like opened bad even bought charger still switch need full refund cost lot money,negative
received defective product seller slow respond refuse replace simple ask file complaint shopee return terrible seller never buy seller beware buying might waste money,negative
performance bad pencil switch charging ipad hours still didnot functioning late reply seller ipad cant detect pencil,negative
issue pen use tips given sent new tips still use msg seller respond,negative
performance weak seller forgot give charger,negative
seller reply msg find seller seller ignore msg seller online product use also hope seller exchange product,negative
smoothness ithink broken instruction said red blinking light low battery cant charge either bluetooth gdpro pencil,negative
performance charge wirelessly charge wirelessly ask seller ask buy charger product defect,negative
performance bad grip straight away magnetic hook 🤦🏻‍♀️🤦🏻‍♀️ pen really really stingy sticks bad quality,negative
bad get blunt one chatting seller fault,negative
effectiveness installed yet unable comment effectiveness material plastic parts looks fragile hose braided advertised hose connectors plastic metal advertised,negative
performance battery drains quickly portability ok,negative
light loud plastic sound,negative
item arrived x strong dust suction,negative
portability mini performance ok bit disappointed,negative
performance x strong bit weak cleaning work rmh car vaccum fine,negative
battery full use minutes battery exhausted,negative
ok used times broken know wrong smoke probe charge hmm want refund already submitted pon hmm,negative
portability light performance ok poor manual manual long pipes connected connect black extension hose tried ways loose fitting,negative
performance using recommend anyone hates frequently charging works minutes taking long time charge suction strong might save money buy worth pricey one need something worth buying,negative
one week use red coating started peeling became hard roll,negative
performance suction power quite strong portability light hope last bit longer tube loose get disconnected using,negative
giving chat response hours receive turnitin report,negative
please fg guys scammer hahahahaha pestime yer got hit acc matter take halal gaiss buy acc many affected,negative
box bad unable hold parts compartment fall apart,negative
functionality good quality fair open box everything confused car part fit parts rearranged compressed cloth,negative
received product cracked delivered time,negative
expected,negative
quality kemek goods packed x neatly,negative
seeds missing,negative
ordered seller posted late received bad scratched like second hand item plastic pipe use forget measure floor trap big sister house 🥲,negative
paip plastic type easily broken hope long lasting,negative
performance good portability normal remember iron cover looks like plastic put washing machine pipe course lifted light want put salotape cover plate floor hamprak cheaters,negative
portability performance light item arrived long time want share quality good light used even lifted water enter hole give stars cover water hole,negative
durability suitable price thin rope,neutral
stainless steel plastic least functional,neutral
portability good performance fair price,neutral
ok suitable price,neutral
price suction sound quite loud centu packaging use thick bubble wrap luckily break thanks,neutral
bad use minutes fully charged cable charging short,neutral
performance good portability nice price suction strong okay suck small dust,neutral
performance good portability good take anywhere,neutral
quality functionality item affected price really suitable heavy duty far repairing house pipes sinks doors used normal overall ok also recommended anyone needs use basic work tqvm,neutral
portability ok performance ok okla quality matches price,neutral
performance ok portability ok plastic clever installing hose fight ok fine afford price stainless steel abs plastic,neutral
portability neutral performance neutral remind continue get game,neutral
ok,neutral
durability ok performance ok use light plastic lift high easily tip tq seller,neutral
okay little tight open worried coat breaking pink mirror scratched dark bought another store solid one overall ok price,neutral
ok price cheap fabric thin advertised ok worth price,neutral
water absorption biasa softness biasa durability biasa,neutral
safety oo longevity ok effectiveness ok okay product job blow away item expected nothing exceptional,neutral
product quality ok seller service ok price ok delivery good arrived late 👌😤,neutral
water absorption good normal absorbtion softness ok ok durability wiped surface still wet,neutral
product ok best bought pcs asked color seller sent yellow,neutral
quality glass cup plastic cover ok cup cover got scratch think use time,neutral
quality good functionality good packaging nice bubble vacuum flask set lid also made cup color beautiful like picture thank seller everything ok cheap next time repeat,neutral
functionality average keeps hot less hrs quality overall okay product received undamaged packing okay delivery time reasonable flask sus cup look like aluminium stainless steel overall quality price,neutral
quality ok considering price shipping takes time thank seller,neutral
durability material good quality bad according price size bit smaller expected laptop fits cun laptop big lot threads long fine strap sewn end end front bag maybe intention make sling bag fine rope,neutral
quality ok comparable price price cheap beautiful color thickness ok right size laptop,neutral
durability moderate material look nice bit small,neutral
durability functionality fast delivery good condition small different photos,neutral
function okay durability really durable material thin waterproof waterproof okay price given cheap cheap product,neutral
durability average functionality good bag small good ladies shoes shoes bigger size eu able fit,neutral
weight normal storage small waterproof ok,neutral
weight product quality looks material looks thin small size storage storage space quite small size fast delivery,neutral
quality okay size sadistic price delivery okay size okay,neutral
quality okay size sadistic price whatever delivery okay size okay,neutral
massage gun lot power need set level setting would feel effect price understandable decent job,neutral
quality ok performance ok sound bass loud mic cute small,neutral
quality moderate performance according price children play battery lasts hour many voice options best,neutral
performance okay quality okay suitable healing singing slaves hehehe affordable price,neutral
quality good bad performance far okay speaker okay okay voice😔💔 one voice worry reason mic voice changer cover contribution delivery honestly fast brother sister cik 🙏🏻 sincerely heart,neutral
first time visiting bought gave try effect pretty good problem normal use😄transport fast paid noon today arrive tomorrow afternoon👍,neutral
sound quality strong performance normal x strong nsb cheap,neutral
quality consider price tag unsafe bulb get super hot immediately within week using shade almost got burn careful one also delivery damn slow,neutral
value money ok performance best feature nice white feel good sound quality flat fair bass,neutral
performance okay lah quality okay lah parcel received fast delivery price acceptable product fir sound quality good sound bit fuzzy,neutral
ordinary bass compete realfit suitable want clear sound give excess ear gum,neutral
quality good performance half bad idk people said mic good quality mine one kinda broke like mic detect background sound like maybe something problem try best fix still😞but delivery far good😊👍,neutral
performance average quality good everything okay sound enough listen want stream okay want cover songs recommend,neutral
performance brg ok cun quality ok cun seller cpt tp runner peram brg,neutral
quality bad easy make mic work quality average,neutral
performance normal quality normal normal maybe use phone laptop maybe fine sure still record fan noise,neutral
outstanding feature ok product quality ok ok good sai good sound quality good sound quality firm hand international delivery quite fast k used company quite good,neutral
sound clear sound sound connection normal stable connection normally bought used time found ok come back evaluate product ok appearance beautiful quality good,neutral
sound ok connection ok design definitely compact adapter material design solid processing plug run chip dac average prevent deaf,neutral
effectiveness bad alhamdulillah arrived stand,neutral
goods arrive normal packaging without bubble warp luckily goods broken picture nothing,neutral
effectiveness effective alright texture alright,neutral
effectiveness okay texture light surprised light full,neutral
material okay yes brush ok price ok color ok,neutral
material wood plastic effectiveness fair enough large brush suitable thick long hair,neutral
effectiveness yes material plastic dryers bought cheaply live time plug round usual type plug cheap price matches quality product thank seller,neutral
effectiveness ok material ok product quality matches price fast delivery time thank seller,neutral
value money bad best feature wireless performance bad fast delivery complain quality price paid sound acceptable meetings tried music yet,neutral
quality mediocre performance good simple design photo looks appealing physical look appealing weak bass suitable listening phonk wan na buy headphone expect much,neutral
well bad gave preview know already arrived house picture quality meh alright put anything sides even though spaces well alright,neutral
design ok quality ok wear real smile fit together medium quality worth money clear stitches plugs fit together ok ugly size used,neutral
quality ok performance ok suitability ok ok,neutral
product quality bad stick magnet well uncovered metal scratch case,neutral
material metal magnet quality okay black metal ring sticker eventhough name product magnetic sticker wont stick metal objects unless products magnets built,neutral
quality performance one month review bluetooth connection break min listening sometime left earbud disconnect sometime right quite annoying using iphone pro,neutral
comfort ok sound quality soft item received well packed seller sound bit soft,neutral
quality performance cant fit ear earphone convenient fit,neutral
durability normal performance normal powerbank charge times fully charged,neutral
performance moderate think k power bank,neutral
durability average performance long lasting overall ok,neutral
material ok safety ok one thinks secret least cute among somemore smaller feel worth price make size saw review characters series bigger hm,neutral
durability average performance average good item get full charge always around charging good,neutral
durability okay performance okay good small compact easy use carry bad kick stand built totally useless open ° even phone plug charging kick stand stable stand upright design allowed open ° stable,neutral
performance fair durability fair yoobao brand capacity mah charged phone charge pineng good charged phone battery last battery,neutral
okey good fr emergency backup good mah,neutral
durability expect heavy still okay checked colour purple received colour hitam…🫠,neutral
performance hold constant va fan durability feel battery moving inside shaking hope last price complain much,neutral
performance ok fast charging,neutral
performance durability okay arrived safely charge slow full fast depleting,neutral
durability okay performance okay support fast charge w powerbank automatic turn,neutral
quality ordinary material ordinary much lagging use need reconnect use need buy another pricey keyboard prevent,neutral
quality ok material ok fast delivery good saw bit cracked broken keypad like shown pic,neutral
quality bad fit perfectly,neutral
quality ok heavy 😅😅,neutral
material quality okay functions good everything okay shortcuts friendly close nicely magnetic,neutral
quality cheap material cheap ordered ipad th gen case sizing wrong unable fit case properly matter hard tried keyboard works trackpad slight delay scrolling annoying looking ipad keyboard reasonable price avoid case especially th gen,neutral
performance fair used redmi phone noticed lot delays compare non chargeable stylus stylus works smoothly still comfortable scrolling gaming writing drawing,neutral
product quality top corner edge bit sharp value money ok weight heavier expected,neutral
material plastic quality ok first seems good kinda satisfied put ipad air kinda um felt bit small ipad battery percentage shown ipad usually electronic devices like headphones still battery indicator bluetooth area case bit light becomes unstable put tablet meh ig get pay,neutral
material bad quality flimsy heavy pretty sure scratch ipad careful enough keypad problems like delay sensitivity issues btw buying play games like roblox im pretty sure wont work sure though overall buy since mostly use ipad drawing editing gon na typing lot would recommend great casing keyboard 🙏🙏,neutral
best feature described value money ok product quality keypads responsive set sturdy previous bit disappointed ipad fit nicely delivery took want reject cos needed protect ipad think set last,neutral
true description ok product quality ok ok use ok typing light easy fast delivery inhale magnet good,neutral
best feature small nice value money cheaper product quality average looked nice wanted try received super fast well packed good condition first confused connect instruction manual tiny figure read manual connect works well,neutral
quality bit flimsy proper instructions set keyboard asked via chat keeps asking set via accessibility found answer reviews people instead lousy,neutral
value money ok product quality like rotating screen option casing fits well material good using keyboard great buttons sometimes respond pressed especially space bar typed fast many times go back correct spacing issues due spacebar working properly may buy separate keyboard replace,neutral
okay,neutral
parcel packaging ok cover quite heavy heavy den ipad,neutral
performance ok difficult use cannon printer setting take ages instruction helpful although link internet router still difficulty printing bought brothers easy use anyway tq seller fast delivery,neutral
product quality ok ok sound fine hurt ears advantage running jumping comfortably without falling clip ears ears hurt,neutral
product quality ok ok outstanding feature unknown expensive bullets light also shiny look good,neutral
performance portability need sit close airflow even full power barely feel air moving better regular fan usable air con room bit loud full power otherwise much looks ok poor qc came gaps distortion casing plastic seems fragile broken bits delivery box shows abuse power cable barely pin plug remote work buying go manual seller respond asked remote delivery date days ago single peep automatic suggestion return refund guess bad product ☆ get past could say works air con room sort ☆ product quality nice guy paying able post honest review,neutral
portability okayy performance average speed air strong speed air slow worth idk,neutral
performance much advertised portability much effect anyway speed speed fan still ok speed good little wind blow distance also good need put closer get wind,neutral
ok base quite flimsy close evenly however fan work thats good enough,neutral
performance hmm okok wind tht strong hot weather,neutral
performance ok portability ok performance ok quality good,neutral
nd time purchase time remote control functioning overall ok use remote controller,neutral
performance okay safety okay egg cooker works well terms cooking eggs complaints mode button frustrating flat unresponsive hard tell pressed often press multiple times get change modes power cord bit short detachable makes inconvenient need change water—you carry whole thing sink sound signals eggs done soft short three dings hear another room,neutral
